G***:5
J1:1
J2:1
J3:1
J4:1
J5:1
LED1:1
MOUSE-BITE-3MM-SLOT:3
R1:1
REF**:4
SW1:1
SW2:1
SW3:1
SW4:1
U2:1
U3:1
